ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weatherconditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken(min),Scaled_Customer_Latitude,Scaled_Customer_Longitude,K-Means Label
0x695a ,JAPRES09DEL02 ,20,5,26.911378,75.789034,26.947883159298527,75.87967690596597,2022-03-08,1900-01-01 21:55:00,22:00:00,conditions Sunny,Jam ,1,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 14,-0.5741517780189311,0.4163248726812641,0
0x9d7f ,JAPRES09DEL01 ,28,4.8,26.911378,75.789034,26.99626655372533,75.77995370516166,2022-04-05,1900-01-01 12:55:00,13:10:00,conditions Sandstorms,High ,1,Snack ,motorcycle,1,No ,Metropolitian ,(min) 18,0.3837245871236091,-1.5107469557259177,0
0x3812 ,JAPRES09DEL01 ,33,4.9,26.911378,75.789034,26.901839376917337,75.74954015838463,2022-03-13,1900-01-01 08:45:00,08:50:00,conditions Sandstorms,Low ,1,Meal ,motorcycle,1,No ,Metropolitian ,(min) 24,-1.485709378042868,-2.098464645523751,0
0x1dd5 ,JAPRES09DEL03 ,32,4.4,26.911378,75.789034,26.96114521140064,75.84511480514175,2022-04-02,1900-01-01 21:15:00,21:30:00,conditions Windy,Jam ,2,Meal ,scooter,1,No ,Metropolitian ,(min) 36,-0.3115946256653762,-0.2515603364950818,0
0x8108 ,JAPRES09DEL01 ,30,4.7,26.911378,75.789034,26.93980130265121,75.80390737893667,2022-03-21,1900-01-01 08:20:00,08:30:00,conditions Cloudy,Low ,0,Drinks ,motorcycle,1,No ,Urban ,(min) 24,-0.7341533562596193,-1.0478611924694352,0
0x3b48 ,JAPRES09DEL01 ,32,4.8,26.911378,75.789034,26.94539324937396,75.84822351976926,2022-03-07,1900-01-01 15:25:00,15:30:00,conditions Cloudy,Medium ,2,Meal ,motorcycle,1,No ,Metropolitian ,(min) 15,-0.6234460843886034,-0.191486889865561,0
0x477b ,JAPRES09DEL03 ,25,5,26.911378,75.789034,26.98231004020788,75.79275890874968,2022-03-19,1900-01-01 20:35:00,20:45:00,conditions Sandstorms,Jam ,2,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 29,0.1074187471440455,-1.263296544061848,0
0xe74 ,JAPRES09DEL03 ,NaN ,NaN ,26.911378,75.789034,26.947255998160003,75.83157396981593,2022-03-26,1900-01-01 23:50:00,00:05:00,conditions Cloudy,Low ,2,Meal ,motorcycle,0,No ,Metropolitian ,(min) 16,-0.5865680799102194,-0.5132262485297474,0
0x3c9e ,JAPRES09DEL01 ,33,5,26.911378,75.789034,26.9376302284354,75.8236831405118,2022-03-17,1900-01-01 10:55:00,11:05:00,conditions Stormy,Low ,1,Buffet ,motorcycle,0,No ,Metropolitian ,(min) 27,-0.7771354723954963,-0.6657102716268471,0
0x5875 ,JAPRES09DEL03 ,31,4.6,26.911378,75.789034,26.909863445552556,75.82586486033355,2022-03-26,1900-01-01 18:30:00,18:45:00,conditions Cloudy,Medium ,1,Snack ,motorcycle,1,No ,Urban ,(min) 19,-1.3268518652740535,-0.6235502650079192,0
0x2943 ,JAPRES09DEL02 ,21,4.8,26.911378,75.789034,27.00833646277645,75.79840147678281,2022-03-17,1900-01-01 20:35:00,20:50:00,conditions Sunny,Jam ,1,Meal ,scooter,1,No ,Metropolitian ,(min) 18,0.6226801367798631,-1.154258388358537,0
0x183a ,JAPRES09DEL01 ,26,4.9,26.911378,75.789034,26.99356542350231,75.81834377246668,2022-03-30,1900-01-01 16:30:00,16:35:00,conditions Stormy,Medium ,2,Buffet ,motorcycle,0,No ,Metropolitian ,(min) 24,0.3302486202044775,-0.7688893278371977,0
0x438b ,JAPRES09DEL01 ,34,4.6,26.911378,75.789034,26.94022725020519,75.8982386555177,2022-03-31,1900-01-01 22:45:00,22:55:00,conditions Stormy,Low ,2,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 18,-0.7257206057348515,0.7750159732336266,0
0x88d1 ,JAPRES09DEL03 ,37,4,26.911378,75.789034,26.910976286241915,75.83214786259973,2022-03-21,1900-01-01 20:50:00,20:55:00,conditions Cloudy,Jam ,2,Meal ,scooter,2,No ,Metropolitian ,(min) 36,-1.3048202611020483,-0.5021362252728709,0
0x4933 ,JAPRES09DEL02 ,22,4.5,26.911378,75.789034,26.94391103307633,75.83929770931051,2022-03-28,1900-01-01 22:20:00,22:25:00,conditions Cloudy,Low ,0,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 20,-0.6527904488415411,-0.3639711035894151,0
0xa6d9 ,JAPRES09DEL03 ,28,4.9,26.911378,75.789034,26.96024572896895,75.85672438846264,2022-04-03,1900-01-01 22:45:00,22:55:00,conditions Fog,Low ,1,Drinks ,scooter,0,No ,Metropolitian ,(min) 14,-0.3294022427700059,-0.0272143390061251,0
0x9da0 ,JAPRES09DEL03 ,38,4.3,26.911378,75.789034,26.94851290317739,75.84828576938189,2022-03-01,1900-01-01 18:20:00,18:25:00,conditions Fog,Medium ,0,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 33,-0.5616843439993968,-0.1902839654322067,0
0x38f2 ,JAPRES09DEL03 ,38,4.9,26.911378,75.789034,26.974251750915197,75.7885582987798,2022-03-30,1900-01-01 20:55:00,21:05:00,conditions Sandstorms,Jam ,2,Meal ,motorcycle,0,No ,Metropolitian ,(min) 27,-0.0521162534153043,-1.34447000289366,0
0x1251 ,JAPRES09DEL03 ,23,4.8,26.911378,75.789034,26.91947145096874,75.79711123624409,2022-03-24,1900-01-01 20:30:00,20:40:00,conditions Windy,Jam ,1,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 29,-1.1366361639294558,-1.1791912642990097,0
0x6286 ,JAPRES09DEL03 ,28,4.9,26.911378,75.789034,26.975647608315825,75.80146559664315,2022-03-05,1900-01-01 19:20:00,19:35:00,conditions Windy,Jam ,2,Meal ,scooter,0,No ,Metropolitian ,(min) 16,-0.0244815901384962,-1.0950467002648852,0
0x8f00 ,JAPRES09DEL01 ,37,3.8,26.911378,75.789034,26.945470422497475,75.87358122959071,2022-04-02,1900-01-01 19:00:00,19:15:00,conditions Windy,Medium ,1,Drinks ,scooter,1,No ,Metropolitian ,(min) 36,-0.6219182397237518,0.2985307573390513,0
0x27e5 ,JAPRES09DEL02 ,28,4.8,26.911378,75.789034,26.9915976980754,75.8067450679407,2022-03-09,1900-01-01 20:30:00,20:45:00,conditions Sunny,Jam ,2,Snack ,scooter,NaN ,No ,Metropolitian ,(min) 14,0.291292327413218,-0.993025101235577,0
0x412f ,JAPRES09DEL01 ,25,5,26.911378,75.789034,26.948602476929665,75.84052043902206,2022-03-15,1900-01-01 09:30:00,09:40:00,conditions Sunny,Low ,2,Drinks ,scooter,1,No ,Metropolitian ,(min) 23,-0.5599109963197609,-0.3403428208842207,0
0xa1ec ,JAPRES09DEL03 ,31,4.8,26.911378,75.789034,26.91124956815342,75.80604987002555,2022-03-28,1900-01-01 20:10:00,20:15:00,conditions Windy,Jam ,0,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 30,-1.2994099279257234,-1.0064592500258969,0
0x1556 ,JAPRES09DEL01 ,22,4.7,26.911378,75.789034,26.87193021171236,75.75057966165289,2022-03-09,1900-01-01 08:45:00,08:50:00,conditions Cloudy,Low ,2,Snack ,scooter,1,No ,Urban ,(min) 17,-2.0778398556664,-2.078377068634486,0
0x9fc ,JAPRES09DEL02 ,20,5,26.911378,75.789034,26.954278716804097,75.85569948190437,2022-03-03,1900-01-01 08:20:00,08:25:00,conditions Fog,Low ,2,Meal ,scooter,0,No ,Urban ,(min) 11,-0.4475349201264269,-0.0470198460422473,0
0x18dc ,JAPRES09DEL02 ,NaN ,NaN ,26.911378,75.789034,26.958505034668597,75.85539599770892,2022-04-03,1900-01-01 11:20:00,11:35:00,conditions Sandstorms,High ,2,Snack ,scooter,1,No ,Metropolitian ,(min) 32,-0.3638638581445029,-0.0528844376185862,0
0x8527 ,JAPRES09DEL03 ,27,3.7,26.911378,75.789034,26.932964905952517,75.8375437728602,2022-03-03,1900-01-01 21:30:00,21:35:00,conditions Sunny,Jam ,0,Snack ,motorcycle,3,No ,Metropolitian ,(min) 53,-0.8694977837848943,-0.3978645355586581,0
0xa5f5 ,JAPRES09DEL02 ,30,4.8,26.911378,75.789034,26.96768834258756,75.84414766715169,2022-03-17,1900-01-01 09:55:00,10:00:00,conditions Windy,Low ,2,Buffet ,motorcycle,0,No ,Urban ,(min) 24,-0.1820561591681726,-0.270249511730075,0
0x5c18 ,JAPRES09DEL01 ,38,4.7,26.911378,75.789034,26.904467802485264,75.76598327466861,2022-03-30,1900-01-01 09:40:00,09:45:00,conditions Fog,Low ,1,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 18,-1.433672790720275,-1.7807144539282769,0
0xae18 ,JAPRES09DEL03 ,35,4.9,26.911378,75.789034,26.927733835028604,75.85471412624584,2022-04-01,1900-01-01 22:50:00,23:05:00,conditions Fog,Low ,1,Meal ,motorcycle,1,No ,Metropolitian ,(min) 17,-0.9730605714263642,-0.0660610632835388,0
0x41bc ,JAPRES09DEL01 ,29,4.9,26.911378,75.789034,26.944338617833807,75.80604011700895,2022-03-26,1900-01-01 08:15:00,08:25:00,conditions Fog,Low ,0,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 17,-0.6443252855734581,-1.006647719342745,0
0x6a1a ,JAPRES09DEL02 ,37,4.7,26.911378,75.789034,26.94513374713552,75.76875164937708,2022-03-19,1900-01-01 10:10:00,10:15:00,conditions Sunny,Low ,0,Meal ,motorcycle,0,No ,Metropolitian ,(min) 25,-0.6285836127460859,-1.7272178065269377,0
0x945a ,JAPRES09DEL01 ,25,4.6,26.911378,75.789034,26.948599492516195,75.87803938501042,2022-03-26,1900-01-01 12:30:00,12:40:00,conditions Stormy,High ,0,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 23,-0.5599700806225619,0.384681077893317,0
0x4dd3 ,JAPRES09DEL02 ,22,4.9,26.911378,75.789034,26.952702478722298,75.81086696523637,2022-03-15,1900-01-01 10:40:00,10:45:00,conditions Stormy,Low ,1,Buffet ,motorcycle,0,No ,Urban ,(min) 12,-0.4787406927325145,-0.913372702455561,0
0x590b ,JAPRES09DEL02 ,26,4.9,26.911378,75.789034,26.96750571975695,75.86311086177543,2022-03-30,1900-01-01 18:25:00,18:40:00,conditions Stormy,Medium ,0,Meal ,motorcycle,1,No ,Metropolitian ,(min) 20,-0.1856716577342916,0.0961991967075731,0
0x6ec8 ,JAPRES09DEL02 ,23,4.3,26.911378,75.789034,26.9336512829382,75.79498311512197,2022-03-01,1900-01-01 11:25:00,11:35:00,conditions Cloudy,High ,1,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 31,-0.8559091486766514,-1.2203155185228185,0
0x2fd4 ,JAPRES09DEL01 ,37,4.9,26.911378,75.789034,26.94413210183585,75.80839318442644,2022-03-13,1900-01-01 15:40:00,15:55:00,conditions Cloudy,Medium ,1,Meal ,motorcycle,1,No ,Metropolitian ,(min) 15,-0.6484138121394268,-0.96117655622312,0
0xa840 ,JAPRES09DEL01 ,33,4.8,26.911378,75.789034,26.903919912674407,75.85997011554784,2022-03-21,1900-01-01 13:55:00,14:00:00,conditions Cloudy,High ,1,Snack ,motorcycle,0,No ,Metropolitian ,(min) 35,-1.4445197084849302,0.0355067647905981,0
0x1172 ,JAPRES09DEL02 ,NaN ,NaN ,26.911378,75.789034,26.884520918568672,75.84574123185801,2022-03-13,1900-01-01 09:50:00,09:55:00,conditions Cloudy,Low ,1,Snack ,scooter,1,No ,NaN ,(min) 14,-1.8285737456512288,-0.2394551366244178,0
0x44a3 ,JAPRES09DEL03 ,36,4.5,26.911378,75.789034,26.922813598107638,75.8201682398861,2022-03-01,1900-01-01 20:20:00,20:25:00,conditions Sunny,Jam ,0,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 20,-1.0704695836160538,-0.7336329407831947,0
0x2d40 ,JAPRES09DEL01 ,20,4.6,26.911378,75.789034,26.92223506911647,75.79918562946872,2022-03-19,1900-01-01 09:55:00,10:00:00,conditions Fog,Low ,1,Drinks ,scooter,1,No ,Metropolitian ,(min) 16,-1.0819230844245389,-1.1391052591168112,0
0x8a55 ,JAPRES09DEL02 ,37,4.2,26.911378,75.789034,26.934257816549163,75.87803453418175,2022-04-03,1900-01-01 17:35:00,17:45:00,conditions Fog,Medium ,0,Drinks ,motorcycle,0,No ,Metropolitian ,(min) 31,-0.8439012228687955,0.3845873394733062,0
0x39cc ,JAPRES09DEL02 ,25,4.8,26.911378,75.789034,26.970353145291377,75.856592295264,2022-03-06,1900-01-01 18:40:00,18:55:00,conditions Windy,Medium ,2,Snack ,scooter,0,No ,Metropolitian ,(min) 21,-0.1292993909009533,-0.0297669353907004,0
0x8907 ,JAPRES09DEL01 ,35,4.9,26.911378,75.789034,26.9175001287254,75.78843219398408,2022-03-24,1900-01-01 12:20:00,12:25:00,conditions Stormy,High ,2,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 31,-1.1756636651485803,-1.3469068781374356,0
0x8300 ,JAPRES09DEL02 ,37,4.5,26.911378,75.789034,26.974347765234256,75.81686201409961,2022-03-05,1900-01-01 09:50:00,10:00:00,conditions Stormy,Low ,2,Buffet ,scooter,0,No ,Metropolitian ,(min) 27,-0.0502153978007952,-0.7975231340392073,0
0xad58 ,JAPRES09DEL02 ,33,4.9,26.911378,75.789034,26.99852405901877,75.84329846347076,2022-04-01,1900-01-01 21:25:00,21:30:00,conditions Cloudy,Jam ,0,Snack ,motorcycle,1,No ,Metropolitian ,(min) 25,0.4284178334406082,-0.2866596998999143,0
0x5fc3 ,JAPRES09DEL02 ,24,4.7,26.911378,75.789034,26.99174520768991,75.81768812521283,2022-03-15,1900-01-01 20:15:00,20:20:00,conditions Sunny,Jam ,2,Snack ,motorcycle,0,No ,Metropolitian ,(min) 11,0.2942126676465072,-0.781559191440427,0
0x173f ,JAPRES09DEL02 ,25,4.8,26.911378,75.789034,26.965312224191564,75.79276881887492,2022-03-13,1900-01-01 23:30:00,23:35:00,conditions Sandstorms,Low ,1,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 14,-0.2290976633715567,-1.2631050387449516,0
0x1898 ,JAPRES09DEL02 ,39,4.5,26.911378,75.789034,26.913178347497187,75.77174005126518,2022-03-28,1900-01-01 10:35:00,10:45:00,conditions Sunny,Low ,0,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 20,-1.261224675136872,-1.6694693082429315,0
0x25dd ,JAPRES09DEL01 ,32,4.2,26.911378,75.789034,26.94238319245277,75.86125832600547,2022-03-29,1900-01-01 17:25:00,17:40:00,conditions Sandstorms,Medium ,0,Meal ,motorcycle,1,No ,Metropolitian ,(min) 38,-0.6830380666523644,0.0604004110227425,0
0x4ad5 ,JAPRES09DEL03 ,22,4.8,26.911378,75.789034,26.914171516254196,75.84603335530986,2022-03-03,1900-01-01 21:40:00,21:50:00,conditions Sandstorms,Jam ,0,Drinks ,motorcycle,0,No ,Metropolitian ,(min) 15,-1.2415622911680662,-0.2338100824151429,0
0xb37e ,JAPRES09DEL02 ,30,4.9,26.911378,75.789034,26.954088778862623,75.81061610274968,2022-03-24,1900-01-01 17:15:00,17:20:00,conditions Sunny,Medium ,2,Buffet ,scooter,0,No ,Metropolitian ,(min) 19,-0.4512952405242459,-0.9182204212112236,0
0x9303 ,JAPRES09DEL01 ,29,4.7,26.911378,75.789034,27.017451058325637,75.81756874649938,2022-04-04,1900-01-01 23:30:00,23:45:00,conditions Windy,Low ,1,Drinks ,scooter,0,No ,Metropolitian ,(min) 16,0.8031274939325194,-0.7838660904744025,0
0x1361 ,JAPRES09DEL01 ,37,4,26.911378,75.789034,26.893588781047075,75.81277699014983,2022-03-11,1900-01-01 11:45:00,11:50:00,conditions Sandstorms,High ,1,Meal ,motorcycle,NaN ,No ,Urban ,(min) 31,-1.6490515923726747,-0.8764629846307059,0
0x4dc4 ,JAPRES09DEL03 ,36,4.6,26.911378,75.789034,26.92513951714036,75.86661920794626,2022-03-07,1900-01-01 20:55:00,21:05:00,conditions Sandstorms,Jam ,1,Snack ,scooter,0,No ,Metropolitian ,(min) 30,-1.0244219076503684,0.1639952062177255,0
0x5692 ,JAPRES09DEL03 ,37,4.7,26.911378,75.789034,26.92369829320208,75.80132964729412,2022-04-03,1900-01-01 21:25:00,21:30:00,conditions Sandstorms,Jam ,0,Meal ,motorcycle,1,No ,Metropolitian ,(min) 33,-1.0529547206891618,-1.0976738136998,0
0x1e24 ,JAPRES09DEL01 ,38,4.7,26.911378,75.789034,26.923257062174336,75.82855261947688,2022-04-01,1900-01-01 08:15:00,08:20:00,conditions Sunny,Low ,0,Drinks ,motorcycle,1,No ,Metropolitian ,(min) 25,-1.0616900477170872,-0.5716114495178846,0
0x42bf ,JAPRES09DEL01 ,24,4.8,26.911378,75.789034,26.90774096023793,75.79293114207057,2022-04-03,1900-01-01 09:45:00,10:00:00,conditions Stormy,Low ,2,Buffet ,scooter,0,No ,Urban ,(min) 10,-1.3688720364985938,-1.2599682716243936,0
0x7688 ,JAPRES09DEL02 ,24,4.7,26.911378,75.789034,26.97762272949421,75.76156907434154,2022-03-26,1900-01-01 09:20:00,09:25:00,conditions Cloudy,Low ,2,Buffet ,scooter,0,No ,Metropolitian ,(min) 13,0.0146211209772126,-1.866015377150222,0
0x1f45 ,JAPRES09DEL01 ,21,5,26.911378,75.789034,26.95110285058924,75.86263201205121,2022-03-03,1900-01-01 14:30:00,14:35:00,conditions Sandstorms,High ,0,Snack ,motorcycle,0,No ,Metropolitian ,(min) 17,-0.5104095328341341,0.0869458052586688,0
0x55ef ,JAPRES09DEL02 ,30,4.9,26.911378,75.789034,26.91146583098168,75.82863142060937,2022-04-01,1900-01-01 11:20:00,11:25:00,conditions Windy,High ,0,Buffet ,motorcycle,3,No ,Metropolitian ,(min) 42,-1.2951284372552083,-0.5700886800796737,0
0xa792 ,JAPRES09DEL03 ,32,4.2,26.911378,75.789034,26.949862049437748,75.83992929444143,2022-03-17,1900-01-01 20:35:00,20:40:00,conditions Sandstorms,Jam ,0,Snack ,motorcycle,1,No ,Metropolitian ,(min) 38,-0.5349744504248438,-0.3517662214434662,0
0x1110 ,JAPRES09DEL01 ,39,4.4,26.911378,75.789034,26.975066694735453,75.86636343200709,2022-03-02,1900-01-01 19:20:00,19:25:00,conditions Stormy,Jam ,1,Meal ,scooter,1,No ,Metropolitian ,(min) 39,-0.0359823001531707,0.1590525388867886,0
0x1876 ,JAPRES09DEL02 ,24,4.9,26.911378,75.789034,26.991645902322887,75.84405828981646,2022-04-04,1900-01-01 19:55:00,20:00:00,conditions Stormy,Jam ,2,Buffet ,scooter,1,No ,Metropolitian ,(min) 16,0.2922466570941285,-0.2719766579049718,0
0x2e8c ,JAPRES09DEL03 ,22,4.7,26.911378,75.789034,26.956525875125,75.88395666647061,2022-04-06,1900-01-01 22:00:00,22:15:00,conditions Sunny,Jam ,0,Meal ,motorcycle,0,No ,Urban ,(min) 18,-0.4030465193057351,0.4990278528735531,0
0x8dae ,JAPRES09DEL02 ,38,4.8,26.911378,75.789034,26.90924264642366,75.83049359227,2022-03-11,1900-01-01 08:45:00,08:50:00,conditions Sunny,Low ,1,Meal ,scooter,1,NaN ,Metropolitian ,(min) 13,-1.3391422144757157,-0.534103688443608,0
0xdf0 ,JAPRES09DEL01 ,NaN ,NaN ,26.911378,75.789034,26.8953341890667,75.7770273896946,2022-03-01,1900-01-01 10:30:00,10:35:00,conditions Windy,Low ,1,Snack ,scooter,1,No ,Metropolitian ,(min) 24,-1.614496656545332,-1.5672956831246538,0
0x3cda ,JAPRES09DEL02 ,25,4.5,26.911378,75.789034,26.96032327602776,75.86282369166958,2022-04-05,1900-01-01 18:10:00,18:25:00,conditions Fog,Medium ,0,Buffet ,motorcycle,1,No ,Metropolitian ,(min) 22,-0.3278669950740013,0.0906498619842587,0
0x3a97 ,JAPRES09DEL03 ,20,4.9,26.911378,75.789034,26.94558352715115,75.86020607462343,2022-03-21,1900-01-01 20:20:00,20:30:00,conditions Stormy,Jam ,2,Meal ,motorcycle,0,No ,Metropolitian ,(min) 14,-0.6196790360501302,0.0400664869372028,0
0x7319 ,JAPRES09DEL01 ,28,4.8,26.911378,75.789034,26.93859155474059,75.79099400624278,2022-03-07,1900-01-01 09:20:00,09:25:00,conditions Cloudy,Low ,0,Snack ,motorcycle,0,No ,Urban ,(min) 24,-0.7581034933902735,-1.2974018863842527,0
0x93f6 ,JAPRES09DEL03 ,22,4.6,26.911378,75.789034,26.91514175439924,75.80463126786513,2022-03-13,1900-01-01 23:50:00,00:00:00,conditions Windy,Low ,1,Snack ,motorcycle,0,No ,Urban ,(min) 11,-1.2223538788871418,-1.033872612583468,0
0x2a80 ,JAPRES09DEL02 ,31,4.9,26.911378,75.789034,26.918156313271925,75.76047334886297,2022-03-21,1900-01-01 08:40:00,08:45:00,conditions Sunny,Low ,1,Drinks ,motorcycle,0,No ,Metropolitian ,(min) 12,-1.162672768669783,-1.887189403699488,0
0x9349 ,JAPRES09DEL02 ,21,4.9,26.911378,75.789034,27.00460858305936,75.8306412640507,2022-03-27,1900-01-01 18:35:00,18:40:00,conditions Windy,Medium ,1,Meal ,motorcycle,1,No ,Urban ,(min) 22,0.5488769670063246,-0.5312500483063759,0
0x4fef ,JAPRES09DEL02 ,33,4.4,26.911378,75.789034,26.944730971076087,75.76363426420217,2022-03-30,1900-01-01 11:35:00,11:40:00,conditions Sandstorms,High ,0,Snack ,motorcycle,2,Yes ,Metropolitian ,(min) 46,-0.6365576226796271,-1.826107219684011,0
0xb306 ,JAPRES09DEL01 ,29,4.8,26.911378,75.789034,26.984955468407477,75.81310688023189,2022-03-14,1900-01-01 20:10:00,20:15:00,conditions Stormy,Jam ,1,Drinks ,scooter,1,No ,Metropolitian ,(min) 15,0.1597919462156431,-0.870088120221269,0
0x33d8 ,JAPRES09DEL02 ,37,4.6,26.911378,75.789034,26.930029851039983,75.79881741606509,2022-03-26,1900-01-01 22:30:00,22:40:00,conditions Cloudy,Low ,0,Meal ,motorcycle,1,No ,NaN ,(min) 23,-0.9276049043044816,-1.1462206913458115,0
0x7fb3 ,JAPRES09DEL01 ,22,4.8,26.911378,75.789034,26.905455514155477,75.82819558751167,2022-03-01,1900-01-01 12:20:00,12:30:00,conditions Stormy,High ,2,Snack ,scooter,0,No ,Metropolitian ,(min) 15,-1.414118444116912,-0.5785108093102378,0
0xb9ce ,JAPRES09DEL03 ,23,4.8,26.911378,75.789034,26.95913443618423,75.786354186991,2022-03-05,1900-01-01 23:40:00,23:45:00,conditions Fog,Low ,2,Drinks ,scooter,1,No ,Urban ,(min) 11,-0.3514032021042639,-1.3870627165309877,0
